specobjid,ra,dec,class,subclass,z,z_err,z_warning,psfmag_g,psfmag_r,psfmag_i,psfmag_z,fiber2mag_g,fiber2mag_r,gaia_g_mag,bp_mag,rp_mag,wise_w1_mag,wise_w2_mag,twomass_j_mag,twomass_h_mag,twomass_k_mag,sn_median,rchi2,dof,chi68p,fracnsigma,pmra,pmdec,parallax,ebv
7027729700150095919200060103,18.799088,-1.8255727,QSO,BROADLINE,2.4081185,0.0012995752,0,,,,,,,19.9818,19.9818,19.5469,,,,,,[1.7855207 5.792433  5.4663224 6.0933733 5.1341844],1.272015,4464,1.0209882,"[3.3017418e-01 5.9426229e-02 9.9897543e-03 1.7930327e-03 7.6844264e-04
 2.5614753e-04 2.5614753e-04 2.5614753e-04 2.5614753e-04 2.5614753e-04]",-0.12118578,0.5789564,0.45500547,0.054099616
7027732000150095919200060103,18.789427,-1.7688852,STAR,CV,0.00024212062,1.9303945e-05,0,,,,,,,17.9862,17.9862,17.6373,,,,,,[ 9.70002  26.423912 30.400799 32.393654 22.430231],1.2761091,4483,1.0659515,"[3.4439743e-01 7.3513031e-02 1.2920472e-02 2.6732013e-03 8.9106703e-04
 2.2276676e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",118.477036,88.42214,10.390155,0.055615164
7028394900150095919200060103,19.574053,-2.2125434,QSO,BROADLINE,1.8969609,0.000900449,0,,,,,,,20.2601,20.2601,19.8465,,,,,,[1.4971505 4.3241086 4.2613964 5.8231144 4.204048 ],0.9040477,4477,0.91431206,"[2.7390239e-01 3.6995765e-02 4.0115891e-03 6.6859816e-04 4.4573212e-04
 2.2286606e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",1.5787392,-0.87530375,-1.7002587,0.04637917
7027633800150095919200060103,19.105149,-1.9881095,QSO,BROADLINE,2.1737278,0.0024255242,0,,,,,,,20.8733,20.8733,20.0269,,,,,,[1.9128087 3.9664059 4.199461  4.458515  3.644568 ],1.0642805,4471,0.94598615,"[2.9389402e-01 3.9439298e-02 5.4644807e-03 2.3758612e-03 7.1275840e-04
 4.7517224e-04 2.3758612e-04 2.3758612e-04 2.3758612e-04 0.0000000e+00]",,,,0.04324775
7028433200150095919200060103,19.254127,-1.9254733,STAR,F3/F5V (30743),-0.00065049785,9.15468e-06,0,,,,,,,17.2928,17.2928,16.5669,,,,,,[11.581705 42.23894  51.713726 51.374477 41.665894],1.6171832,4482,0.99611586,"[0.317807   0.06373969 0.01716069 0.00846891 0.00624025 0.00334299
 0.00267439 0.00200579 0.00156006 0.00111433]",0.8068644,-9.265347,0.37396115,0.044482507
7028438900150095919200060103,19.18186,-1.8191086,QSO,BROADLINE,0.8710281,9.127695e-05,0,,,,,,,18.7537,18.7537,18.2119,,,,,,[ 7.383981 24.498964 25.098434 25.324535 18.850992],3.553506,4470,1.7439944,"[5.58035731e-01 2.58035719e-01 1.04017854e-01 3.86160724e-02
 1.58482138e-02 5.80357155e-03 3.57142859e-03 1.78571430e-03
 2.23214287e-04 2.23214287e-04]",0.010390419,-0.14793567,-0.34390613,0.0551206
7028433900150095919200060103,19.306678,-1.8787215,QSO,BROADLINE,1.5160596,0.0004052024,0,,,,,,,20.1845,20.1845,19.5511,,,,,,[ 2.993825   8.639572   9.254997  10.701688   6.7530417],0.8973632,4495,0.90785354,"[0.27347392 0.03596004 0.00466149 0.00066593 0.         0.
 0.         0.         0.         0.        ]",0.1876919,2.1715744,-0.25136802,0.052887745
7028403700150095919200060103,19.396172,-2.1091197,STAR,WDcooler,-0.00011941363,2.9552526e-05,0,,,,,,,18.9512,18.9512,18.8005,,,,,,[ 7.3576345 21.070883  17.97356   15.159146   8.0062   ],0.97379655,4480,0.9170945,"[2.7714604e-01 3.7235230e-02 6.4659975e-03 2.0066889e-03 1.3377926e-03
 8.9186174e-04 6.6889630e-04 6.6889630e-04 4.4593087e-04 2.2296543e-04]",54.559692,-29.742413,3.8128939,0.042681977
7028404000150095919200060103,19.389642,-2.0703622,QSO,,1.6637572,0.00022426725,0,,,,,,,20.8937,20.8937,20.1113,,,,,,[0.97844356 2.8728418  3.549379   4.9879045  3.3314953 ],1.0204788,4470,0.95973486,"[3.0066964e-01 5.1562499e-02 8.2589285e-03 2.0089287e-03 4.4642857e-04
 2.2321429e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",,,,0.04310939
7028431000150095919200060103,19.414572,-1.995424,QSO,BROADLINE,0.9611982,0.00021757359,0,,,,,,,19.545,19.545,19.1156,,,,,,[ 4.8842745 10.784558  10.248609   8.364016   5.5612206],0.907306,4475,0.895364,"[2.6599777e-01 3.4336679e-02 5.7971017e-03 2.2296545e-03 8.9186174e-04
 8.9186174e-04 6.6889630e-04 2.2296543e-04 0.0000000e+00 0.0000000e+00]",-0.7963,-0.121164136,0.1806716,0.048824295
