id,ra,dec,class,z,z_err
7004987300150005914600060103,35.407754,-6.4484517,1,0.0,0.0
7005016400150005914600060103,35.103846,-6.2921282,2,0.13962935,3.2967284e-05
7005734700150005914600060103,35.24326,-6.0288194,3,0.0005666296,1.4835322e-05
7005011400150005914600060103,35.410434,-6.2627868,1,0.0,0.0
7005016600150005914600060103,35.01667,-6.2686349,4,2.4104981,0.00050038035
7005733200150005914600060103,35.337295,-6.1206512,3,0.0005824712,2.0098063e-05
7005771700150005914600060103,36.314418,-5.7570408,5,0.053592075,8.570271e-06
7005376600150005914600060103,34.90911,-6.0668356,2,0.56588626,0.00013582794
7005730900150005914600060103,35.61671,-6.0234278,6,-0.0006960828,1.2239564e-05
7005390400150005914600060103,34.805467,-5.7225842,5,0.05395932,1.1009411e-05
7005019500150005914600060103,34.972713,-6.1898776,2,1.9168203,0.002617226
7005740000150005914600060103,35.417946,-5.8505189,3,0.00061028777,1.6882093e-05
7006160400150005914600060103,34.988374,-5.6588861,1,0.0,0.0
7005375900150005914600060103,34.991105,-6.0930068,2,1.2983111,0.0009917819
7005732400150005914600060103,35.652879,-5.898463,3,9.235091e-05,1.6770342e-05
7006196300150005914600060103,34.912856,-5.1927162,7,0.15056844,1.6241303e-05
7005377400150005914600060103,35.056275,-6.0171515,4,1.1347463,0.00095678394
7005716400150005914600060103,35.949999,-5.93855,8,3.173631e-05,9.536025e-05
7006199000150005914600060103,35.12314,-5.2789485,1,0.0,0.0
7005020900150005914600060103,35.198357,-6.2015798,4,0.88650393,6.982297e-05
7005706800150005914600060103,36.292114,-6.0544704,3,0.0002956258,2.856038e-05
7006261300150005914600060103,35.507909,-4.8026242,1,0.14167094,3.1699077e-05
7005696300150005914600060103,35.689222,-6.2771255,2,2.6036956,0.0006766174
7005719700150005914600060103,36.28566,-5.8559544,9,0.00024556057,9.1328475e-05
7006224900150005914600060103,35.715688,-5.1201518,1,0.5583559,0.00010838441
7005021300150005914600060103,35.156116,-6.1768468,2,2.6810985,0.0022428802
7005712000150005914600060103,36.391822,-5.9646943,10,-0.00013284454,1.3734461e-05
7006278700150005914600060103,35.981284,-4.6088569,1,0.19069773,4.251468e-05
7005024500150005914600060103,35.164636,-6.0885777,2,1.7343079,0.0007627078
7005663300150005914600060103,36.851693,-5.9517632,3,-0.00031641175,1.9426403e-05
7006291400150005914600060103,35.814127,-4.433365,1,0.1902993,7.3664174e-05
7005733600150005914600060103,35.266138,-6.04728,4,2.0630708,0.0018109977
7005664600150005914600060103,36.755257,-5.8750555,3,-0.00018344782,1.4548801e-05
7006481600150005914600060103,36.186326,-4.391831,1,0.14847708,3.536309e-05
7006149200150005914600060103,35.130754,-5.8761376,2,0.5999439,0.0002553676
