id,ra,dec,class,subclass
5755035100150195916400060103,116.55993,28.30561,STAR,F3/F5V (30743)
5757364700150195916400060103,116.39881,28.564354,STAR,F3/F5V (30743)
5757434200150195916400060103,116.19883,28.975622,GALAXY,
5757382700150195916400060103,116.41286,28.685025,QSO,BROADLINE
3500922000150195916400060103,116.45134,28.810625,QSO,BROADLINE
5757450300150195916400060103,116.12944,29.177975,QSO,BROADLINE
5757809600150195916400060103,116.14022,29.194569,STAR,F3/F5V (30743)
5757792700150195916400060103,116.37226,29.058879,GALAXY,
5757794300150195916400060103,116.47277,29.075043,GALAXY,
5757798800150195916400060103,116.39924,29.219874,QSO,BROADLINE
5757813400150195916400060103,116.15778,29.307552,QSO,BROADLINE
5757811600150195916400060103,116.21402,29.335011,QSO,BROADLINE
5757823600150195916400060103,116.25101,29.450747,QSO,BROADLINE
5757820700150195916400060103,116.38026,29.490809,QSO,BROADLINE
5757807700150195916400060103,116.52046,29.380637,QSO,STARBURST BROADLINE
5758000300150195916400060103,116.21724,29.722062,STAR,F3/F5V (30743)
5758019300150195916400060103,116.33558,29.814248,QSO,BROADLINE
5758017400150195916400060103,116.37054,29.806793,QSO,STARBURST BROADLINE
5758017900150195916400060103,116.50531,29.798676,QSO,BROADLINE
5758021400150195916400060103,116.3431,29.880353,STAR,M5III (221615)
5758018700150195916400060103,116.44475,29.863429,QSO,BROADLINE
5758038900150195916400060103,116.36142,30.009314,QSO,BROADLINE
5758039300150195916400060103,116.43189,30.082986,QSO,BROADLINE
5755022400150195916400060103,116.69619,28.22836,QSO,BROADLINE
5754969600150195916400060103,117.06034,28.094909,QSO,BROADLINE
5755023700150195916400060103,116.92514,28.162624,STAR,WDhotter
5754972300150195916400060103,117.0321,28.116701,QSO,BROADLINE
5754972900150195916400060103,117.02904,28.151495,STAR,K3V (32147)
5755040800150195916400060103,116.73076,28.320644,QSO,BROADLINE
5755027500150195916400060103,116.8198,28.254914,QSO,BROADLINE
5755041800150195916400060103,116.74963,28.37454,STAR,F3/F5V (30743)
5755046400150195916400060103,116.6083,28.464266,STAR,F0IV (81937)
5755024800150195916400060103,116.92294,28.263745,GALAXY,
5755025700150195916400060103,116.99916,28.301462,QSO,BROADLINE
5755030500150195916400060103,116.92253,28.351326,STAR,WDhotter
5754975500150195916400060103,117.04523,28.261847,STAR,M5III (221615)
5755329000150195916400060103,117.15174,28.283895,QSO,BROADLINE
5755374800150195916400060103,117.00722,28.377238,QSO,BROADLINE
5755375900150195916400060103,117.19652,28.423689,STAR,F6V (16673)
5754952500150195916400060103,117.33084,27.934496,STAR,F3/F5V (30743)
5754952700150195916400060103,117.38418,27.966314,QSO,BROADLINE
5755144700150195916400060103,117.53182,27.952216,QSO,BROADLINE
5755145000150195916400060103,117.56102,27.97065,QSO,BROADLINE
5755142400150195916400060103,117.72595,27.926266,STAR,M6III (148783)
5755146000150195916400060103,117.62951,27.99351,QSO,BROADLINE
5755143900150195916400060103,117.69573,28.011421,QSO,BROADLINE
5755147800150195916400060103,117.77622,27.9956,STAR,F3/F5V (30743)
5755316800150195916400060103,117.39373,28.24444,QSO,BROADLINE
5755327900150195916400060103,117.34577,28.321752,QSO,BROADLINE
5755320900150195916400060103,117.52755,28.299304,QSO,BROADLINE
5755322800150195916400060103,117.569,28.369683,GALAXY,
5755321400150195916400060103,117.59137,28.336297,STAR,F3/F5V (30743)
5755149100150195916400060103,117.80271,28.067654,QSO,BROADLINE
5755150100150195916400060103,117.8459,28.085807,QSO,BROADLINE
5755139000150195916400060103,117.92907,28.037849,GALAXY,STARFORMING
5755138400150195916400060103,117.95994,28.04768,QSO,BROADLINE
5755139400150195916400060103,117.92111,28.090044,QSO,BROADLINE
5755153600150195916400060103,117.7413,28.199194,STAR,F3/F5V (30743)
5755171800150195916400060103,117.93574,28.225423,QSO,BROADLINE
5755172100150195916400060103,117.96863,28.252387,QSO,
5755395900150195916400060103,116.79998,28.618479,QSO,BROADLINE
5757725900150195916400060103,116.78706,28.6985,STAR,F2V (33256)
5757726900150195916400060103,116.68674,28.763825,QSO,BROADLINE
5755389500150195916400060103,117.11749,28.670943,GALAXY,
5757744700150195916400060103,116.63134,28.945639,QSO,BROADLINE
5757732600150195916400060103,116.75081,28.935695,QSO,BROADLINE
5757755200150195916400060103,116.61121,29.192093,STAR,F3/F5V (30743)
5757741300150195916400060103,116.83404,29.032697,QSO,BROADLINE
5755404700150195916400060103,117.15835,28.84984,GALAXY,
5757760200150195916400060103,117.02175,29.056452,QSO,BROADLINE
5757761000150195916400060103,117.05563,29.086677,STAR,M5III (221615)
5755432200150195916400060103,117.16765,29.025918,QSO,BROADLINE
5755334100150195916400060103,117.52978,28.399348,STAR,WDhotter
5755334400150195916400060103,117.52792,28.467052,QSO,BROADLINE
5755334900150195916400060103,117.53646,28.509093,GALAXY,
5755386600150195916400060103,117.34708,28.643303,STAR,M5III (221615)
5755390600150195916400060103,117.29415,28.70405,GALAXY,
5755357500150195916400060103,117.58722,28.550314,QSO,BROADLINE
5755362800150195916400060103,117.62144,28.661404,QSO,BROADLINE
5755322400150195916400060103,117.64718,28.386849,QSO,BROADLINE
5755344700150195916400060103,117.70024,28.457898,QSO,BROADLINE
5755340900150195916400060103,117.81804,28.376647,QSO,BROADLINE
5755346400150195916400060103,117.79137,28.481599,STAR,WDhotter
5755359300150195916400060103,117.72264,28.600285,QSO,BROADLINE
5755349700150195916400060103,117.93287,28.55462,GALAXY,
5755365000150195916400060103,117.61437,28.782537,STAR,F3/F5V (30743)
5755417800150195916400060103,117.60564,28.871761,STAR,F3/F5V (30743)
5755370000150195916400060103,117.68358,28.778096,QSO,BROADLINE
5755354400150195916400060103,117.90984,28.671926,STAR,WDhotter
5755365200150195916400060103,117.83644,28.713869,QSO,BROADLINE
5755355500150195916400060103,117.91536,28.716672,QSO,BROADLINE
5755367000150195916400060103,117.89456,28.756692,STAR,F0IV (81937)
5755355600150195916400060103,117.95163,28.727893,STAR,F3/F5V (30743)
5755371000150195916400060103,117.70401,28.821181,STAR,F3/F5V (30743)
5755371500150195916400060103,117.75001,28.843029,STAR,F6V (16673)
5755420400150195916400060103,117.64417,28.937798,STAR,F6V (16673)
5755371900150195916400060103,117.7811,28.87807,STAR,F6V (16673)
5755464400150195916400060103,117.95124,28.892608,STAR,F3/F5V (30743)
5755133400150195916400060103,118.04756,27.901454,STAR,G0Va (143761)
5755134400150195916400060103,118.01041,27.961909,STAR,F6V (16673)
5755134900150195916400060103,118.05182,27.973989,STAR,F0IV (81937)
5755138100150195916400060103,118.02461,28.036331,QSO,BROADLINE
5755134300150195916400060103,118.09556,27.966594,STAR,F8V (30562)
5755155000150195916400060103,118.17427,28.008663,QSO,BROADLINE
5755107900150195916400060103,118.19514,27.999814,STAR,M6III (148783)
5755106700150195916400060103,118.27418,27.963057,STAR,F3/F5V (30743)
5755157200150195916400060103,118.16086,28.087775,QSO,BROADLINE
5755156400150195916400060103,118.22817,28.060306,QSO,BROADLINE
5755109300150195916400060103,118.26418,28.021758,QSO,BROADLINE
5755159900150195916400060103,118.03002,28.167571,QSO,BROADLINE
5755113300150195916400060103,118.47673,28.114526,STAR,F3/F5V (30743)
5755111800150195916400060103,118.52118,28.060991,QSO,BROADLINE
5755174000150195916400060103,118.00169,28.341981,QSO,BROADLINE
5755182000150195916400060103,118.03314,28.393565,STAR,F8V (G_243-63)
5755179600150195916400060103,118.0945,28.429154,STAR,F3/F5V (30743)
5755181300150195916400060103,118.13626,28.458396,STAR,F3/F5V (30743)
5755349100150195916400060103,117.98889,28.532419,QSO,BROADLINE
5755180800150195916400060103,118.15691,28.440191,QSO,BROADLINE
5755181100150195916400060103,118.18735,28.474209,QSO,BROADLINE
5755184900150195916400060103,118.19073,28.528085,STAR,WDcooler
5755249900150195916400060103,118.32008,28.479436,QSO,BROADLINE
5755162600150195916400060103,118.37297,28.203193,STAR,F0IV (81937)
5755164200150195916400060103,118.44756,28.301429,QSO,BROADLINE
5755248300150195916400060103,118.37844,28.41653,QSO,BROADLINE
5755246500150195916400060103,118.47648,28.446243,QSO,BROADLINE
5755244600150195916400060103,118.52711,28.365649,QSO,BROADLINE
5755267500150195916400060103,118.1699,28.609572,STAR,F0IV (81937)
5755266400150195916400060103,118.21004,28.591673,QSO,BROADLINE
5755267900150195916400060103,118.24647,28.680383,QSO,BROADLINE
5755449900150195916400060103,118.06778,28.81706,STAR,M5III (221615)
5755446000150195916400060103,118.26618,28.787641,QSO,BROADLINE
5755270300150195916400060103,118.3132,28.78463,QSO,BROADLINE
5755260900150195916400060103,118.34453,28.576975,QSO,BROADLINE
5755263700150195916400060103,118.36515,28.614216,QSO,BROADLINE
5755262900150195916400060103,118.42291,28.615783,QSO,BROADLINE
5755253200150195916400060103,118.67195,28.537013,QSO,BROADLINE
5755132500150195916400060103,118.41157,28.661826,QSO,BROADLINE
5755265500150195916400060103,118.39178,28.672441,STAR,F3/F5V (30743)
5755256600150195916400060103,118.51741,28.659389,STAR,B0.5Ibe... (187459)
