id,ra,dec,obj_type,prob_Galaxy,prob_Star,prob_QSO
7005016400150005914600060103,35.103846,-6.2921282,No class,-1,-1,-1
7005016600150005914600060103,35.01667,-6.2686349,No class,-1,-1,-1
7005376600150005914600060103,34.90911,-6.0668356,No class,-1,-1,-1
7005019500150005914600060103,34.972713,-6.1898776,No class,-1,-1,-1
7005375900150005914600060103,34.991105,-6.0930068,No class,-1,-1,-1
7005377400150005914600060103,35.056275,-6.0171515,No class,-1,-1,-1
7004987300150005914600060103,35.407754,-6.4484517,No class,-1,-1,-1
7005020900150005914600060103,35.198357,-6.2015798,No class,-1,-1,-1
7005011400150005914600060103,35.410434,-6.2627868,No class,-1,-1,-1
7005696300150005914600060103,35.689222,-6.2771255,No class,-1,-1,-1
7005021300150005914600060103,35.156116,-6.1768468,No class,-1,-1,-1
7005024500150005914600060103,35.164636,-6.0885777,No class,-1,-1,-1
7005734700150005914600060103,35.24326,-6.0288194,No class,-1,-1,-1
7005733200150005914600060103,35.337295,-6.1206512,No class,-1,-1,-1
7005733600150005914600060103,35.266138,-6.04728,No class,-1,-1,-1
7006149200150005914600060103,35.130754,-5.8761376,No class,-1,-1,-1
7005734100150005914600060103,35.369911,-5.9827167,No class,-1,-1,-1
7005726200150005914600060103,35.617758,-6.0965984,No class,-1,-1,-1
7005730900150005914600060103,35.61671,-6.0234278,No class,-1,-1,-1
7005740000150005914600060103,35.417946,-5.8505189,No class,-1,-1,-1
7005732400150005914600060103,35.652879,-5.898463,No class,-1,-1,-1
7005692600150005914600060103,35.95899,-6.2793123,No class,-1,-1,-1
7005694600150005914600060103,36.048021,-6.1544588,No class,-1,-1,-1
7005702700150005914600060103,36.13731,-6.2008188,No class,-1,-1,-1
7005615800150005914600060103,36.289988,-6.2221293,No class,-1,-1,-1
7005703400150005914600060103,36.190746,-6.1972574,No class,-1,-1,-1
7005704100150005914600060103,36.246152,-6.1384437,No class,-1,-1,-1
7005702100150005914600060103,35.820523,-6.0747067,No class,-1,-1,-1
7005730600150005914600060103,35.810521,-6.0036851,No class,-1,-1,-1
7005701900150005914600060103,35.891618,-6.0810754,No class,-1,-1,-1
7005742500150005914600060103,35.838609,-5.9334336,No class,-1,-1,-1
7005716400150005914600060103,35.949999,-5.93855,No class,-1,-1,-1
7005745600150005914600060103,35.87572,-5.7994991,No class,-1,-1,-1
7005744100150005914600060103,35.978578,-5.8111165,No class,-1,-1,-1
7005712600150005914600060103,36.069669,-6.0834693,No class,-1,-1,-1
7005706800150005914600060103,36.292114,-6.0544704,No class,-1,-1,-1
7005717500150005914600060103,36.195668,-5.9609085,No class,-1,-1,-1
7005716800150005914600060103,36.076819,-5.919753,No class,-1,-1,-1
7005719700150005914600060103,36.28566,-5.8559544,No class,-1,-1,-1
7005712000150005914600060103,36.391822,-5.9646943,No class,-1,-1,-1
7005708500150005914600060103,36.458517,-6.0291636,No class,-1,-1,-1
7005771700150005914600060103,36.314418,-5.7570408,No class,-1,-1,-1
7005663500150005914600060103,36.609432,-5.9869653,No class,-1,-1,-1
7005663300150005914600060103,36.851693,-5.9517632,No class,-1,-1,-1
7005664600150005914600060103,36.755257,-5.8750555,No class,-1,-1,-1
